[3/13/2026 8:23 AM] Leon AI Assistant: Property Name,Address,City,Submarket,Unit Count,Year Built
1660 PEACHTREE ST NE,1660 PEACHTREE ST NE,Atlanta,,355,
1671 JAMES JACKSON PKWY NW,1671 JAMES JACKSON PKWY NW,Atlanta,,101,
16785 OLD MORRIS RD,16785 OLD MORRIS RD,Atlanta,,103,
170 BOULEVARD SE,170 BOULEVARD SE,Atlanta,,207,
1700 GOLDEN GATES PKWY,1700 GOLDEN GATES PKWY,Atlanta,,359,
[3/13/2026 8:23 AM] Leon AI Assistant: 1700 NORTHSIDE DR NW APT 1101,1700 NORTHSIDE DR NW APT 1101,Atlanta,,182,
1710 PERRY BLVD NW,1710 PERRY BLVD NW,Atlanta,,124,
1717 CENTRA VILLA DR SW,1717 CENTRA VILLA DR SW,Atlanta,,132,
174 MOURY ST SE,174 MOURY ST SE,Atlanta,,220,
1750 COMMERCE DR # 2,1750 COMMERCE DR # 2,Atlanta,,280,
1760 NORTHSIDE DR NW,1760 NORTHSIDE DR NW,Atlanta,,120,
1765 TEMPLE AVE,1765 TEMPLE AVE,Atlanta,,100,
1770 RICHMOND AVE SE,1770 RICHMOND AVE SE,Atlanta,,140,
1771 PEACHTREE RD NW,1771 PEACHTREE RD NW,Atlanta,,257,
1776 EAST HARVARD AVE,1776 EAST HARVARD AVE,Atlanta,,142,
1777 HARVARD AVE,1777 HARVARD AVE,Atlanta,,109,
178 WEST CAMPBELLTON ST,178 WEST CAMPBELLTON ST,Atlanta,,120,
1783 JOHNSON RD NW,1783 JOHNSON RD NW,Atlanta,,139,
1789 WARD CIR,1789 WARD CIR,Atlanta,,218,
180 JACKSON ST NE,180 JACKSON ST NE,Atlanta,,592,
180 NORTHSIDE DR SW,180 NORTHSIDE DR SW,Atlanta,,104,
180 TENTH ST,180 TENTH ST,Atlanta,,361,
1800 DEERFIELD POINT,1800 DEERFIELD POINT,Atlanta,,370,
18000 WINDWARD PKY,18000 WINDWARD PKY,Atlanta,,328,
181 PEACHTREE ST NE,181 PEACHTREE ST NE,Atlanta,,447,
1824 DEFOOR AVE NW,1824 DEFOOR AVE NW,Atlanta,,236,
1829 CAMPBELLTON RD SW,1829 CAMPBELLTON RD SW,Atlanta,,117,
183 MOUNT ZION RD SE,183 MOUNT ZION RD SE,Atlanta,,220,
1837 STANTON RD,1837 STANTON RD,Atlanta,,166,
1847 STANTON RD,1847 STANTON RD,Atlanta,,180,
185 CLIFTWOOD DR,185 CLIFTWOOD DR,Atlanta,,251,
185 MONTAG CIR,185 MONTAG CIR,Atlanta,,253,
1850 HOWELL MILL RD NW,1850 HOWELL MILL RD NW,Atlanta,,212,
1870 CAMPBELLTON RD SW,1870 CAMPBELLTON RD SW,Atlanta,,202,
188 FOURTEENTH ST NE,188 FOURTEENTH ST NE,Atlanta,,467,
1881 MYRTLE DR SW,1881 MYRTLE DR SW,Atlanta,,300,
1888 EMERY ST NW,1888 EMERY ST NW,Atlanta,,345,
1888 HOLLYWOOD RD NW,1888 HOLLYWOOD RD NW,Atlanta,,151,
190 MAPLE ST NW,190 MAPLE ST NW,Atlanta,,105,
190 MARIETTA ST,190 MARIETTA ST,Atlanta,,470,
1900 ALPHARETTA HWY,1900 ALPHARETTA HWY,Atlanta,,270,
1900 PERRY BLVD NW,1900 PERRY BLVD NW,Atlanta,,132,
1900 POINTVIEW DR,1900 POINTVIEW DR,Atlanta,,164,
1901 MYRTLE DR SW,1901 MYRTLE DR SW,Atlanta,,100,
1903 DREW PL,1903 DREW PL,Atlanta,,152,
1925 MONROE DR NE,1925 MONROE DR NE,Atlanta,,346,
1925 WAYCREST DR,1925 WAYCREST DR,Atlanta,,280,
193 FAIRBURN RD NW,193 FAIRBURN RD NW,Atlanta,,102,
1935 ALISON CT SW,1935 ALISON CT SW,Atlanta,,238,
1940 FISHER RD SE,1940 FISHER RD SE,Atlanta,,344,
195 THIRTEENTH ST NE,195 THIRTEENTH ST NE,Atlanta,,310,
1950 CAMPBELLTON RD SW,1950 CAMPBELLTON RD SW,Atlanta,,256,
1950 HOWELL MILL RD NW,1950 HOWELL MILL RD NW,Atlanta,,256,
1950 PIEDMONT CIR NE,1950 PIEDMONT CIR NE,Atlanta,,392,
1989 CHESHIRE BRIDGE RD,1989 CHESHIRE BRIDGE RD,Atlanta,,403,
1990 ALISON CT SW,1990 ALISON CT SW,Atlanta,,196,
1991 DELOWE DR SW,1991 DELOWE DR SW,Atlanta,,308,
1994 BENT CREEK WAY SW,1994 BENT CREEK WAY SW,Atlanta,,118,
1999 BENT CREEK WAY SW,1999 BENT CREEK WAY SW,Atlanta,,118,
200 COLONIAL HOMES DR NW,200 COLONIAL HOMES DR NW,Atlanta,,144,
200 EDGEWOOD AVE NE,200 EDGEWOOD AVE NE,Atlanta,,144,
200 NEREM ST NW,200 NEREM ST NW,Atlanta,,280,
200 PEYTON PL SW,200 PEYTON PL SW,Atlanta,,153,
